claim_id,policy_id,date_of_claim,claim_amount,claim_status,LastUpdatedTimeStamp
10041,836,2022-05-24 16:33:20,17630.69,Completed,2022-05-24 16:33:20
10042,424,2022-08-05 22:46:00,154047.12,In Progress,2022-08-05 22:46:00
10043,525,2022-09-30 09:26:40,60537.52,In Progress,2022-09-30 09:26:40
10044,734,2022-09-15 13:53:20,176409.72,In Progress,2022-09-15 13:53:20
10045,379,2023-08-04 21:40:00,192888.87,Completed,2023-08-04 21:40:00
10046,,,0,,
10047,978,2023-01-25 07:00:00,92556.41,In Progress,2023-01-25 07:00:00
10048,127,2023-02-20 10:46:40,130112.28,In Progress,2023-02-20 10:46:40
10049,76,2023-03-13 15:06:40,2188.03,Completed,2023-03-13 15:06:40
10050,203,2022-09-10 07:20:00,64861.64,Completed,2022-09-10 07:20:00
10051,661,2022-04-20 07:33:20,26187.22,Completed,2022-04-20 07:33:20
10052,597,2022-04-25 01:26:40,83274.9,Completed,2022-04-25 01:26:40
10053,9,2022-10-23 13:00:00,191036.73,Completed,2022-10-23 13:00:00
10054,817,2022-06-10 18:13:00,127238.79,Completed,2022-06-10 18:13:00
10055,956,2023-04-04 17:40:00,191735.46,In Progress,2023-04-04 17:40:00
10056,71,2022-07-22 00:33:20,195662.08,Completed,2022-07-22 00:33:20
10057,289,2023-01-25 12:33:20,153178.29,Completed,2023-01-25 12:33:20
10058,939,2022-03-10 04:06:00,55120.55,Completed,2022-03-10 04:06:00
10059,290,2023-09-03 22:13:00,127939.01,Pending,2023-09-03 22:13:00
10060,425,2022-09-30 15:00:00,96223.25,Denied,2022-09-30 15:00:00
10061,,,0,,
10062,543,2022-10-07 08:00:00,125144.21,In Progress,2022-10-07 08:00:00
10063,755,2022-05-21 19:06:40,76358.69,In Progress,2022-05-21 19:06:40
10064,437,2022-04-09 05:40:00,87445.67,In Progress,2022-04-09 05:40:00
10065,335,2022-06-08 15:33:00,186178.06,Completed,2022-06-08 15:33:00
10066,,,0,,
10067,547,2022-06-09 10:26:00,193807.96,Completed,2022-06-09 10:26:00
10068,630,2022-10-17 01:26:40,2331.05,Completed,2022-10-17 01:26:40
10069,,,0,,
10070,541,2022-12-13 02:53:20,2282.79,In Progress,2022-12-13 02:53:20
10071,,,0,,
10072,193,2023-02-23 22:06:40,78234.25,In Progress,2023-02-23 22:06:40
10073,429,2022-09-09 05:06:00,149912,Denied,2022-09-09 05:06:00
10074,,,0,,
10075,718,2022-08-20 21:13:20,76591.31,In Progress,2022-08-20 21:13:20
10076,,,0,,
10077,803,2023-04-04 12:06:00,158390.79,Pending,2023-04-04 12:06:00
10078,324,2022-06-10 09:53:00,31975.43,In Progress,2022-06-10 09:53:00
10079,654,2022-09-24 14:33:20,115224.76,In Progress,2022-09-24 14:33:20
10080,,,0,,
10081,391,2022-11-17 01:53:20,161553.62,In Progress,2022-11-17 01:53:20
10082,216,2022-09-13 03:33:20,60025.99,Completed,2022-09-13 03:33:20
10083,614,2023-04-14 08:13:20,30621.13,In Progress,2023-04-14 08:13:20
10084,831,2022-06-17 01:40:00,27815.03,Completed,2022-06-17 01:40:00
10085,397,2022-05-19 08:46:40,113027.42,Completed,2022-05-19 08:46:40
10086,,,0,,
10087,603,2022-06-16 09:00:00,45168.12,In Progress,2022-06-16 09:00:00
10088,486,2022-10-10 08:20:00,112556.91,In Progress,2022-10-10 08:20:00
10089,41,2022-05-07 08:33:00,15737.86,Completed,2022-05-07 08:33:00
10090,196,2023-07-04 20:40:00,69487.87,Denied,2023-07-04 20:40:00
10091,322,2023-11-02 01:46:00,109376.06,Completed,2023-11-02 01:46:00
10092,456,2023-04-13 10:00:00,31778.53,In Progress,2023-04-13 10:00:00
10093,961,2022-05-08 00:40:00,182332.7,Completed,2022-05-08 00:40:00
10094,896,2022-06-27 08:53:20,190127.38,In Progress,2022-06-27 08:53:20
10095,760,2022-11-14 21:06:40,187748.1,Pending,2022-11-14 21:06:40
10096,726,2022-06-13 03:13:20,60890.19,Pending,2022-06-13 03:13:20
10097,579,2022-06-07 12:20:00,143732.35,In Progress,2022-06-07 12:20:00
10098,204,2022-08-07 06:00:00,178620.46,Completed,2022-08-07 06:00:00
10099,818,2023-01-17 04:33:20,175584.46,Denied,2023-01-17 04:33:20
10100,976,2022-08-07 19:53:00,137256.38,Pending,2022-08-07 19:53:00
10101,812,2022-07-13 13:46:40,163474.38,In Progress,2022-07-13 13:46:40
10102,596,2022-07-29 13:06:40,148850.03,Completed,2022-07-29 13:06:40
10103,1000,2022-12-25 20:26:40,91172.9,Completed,2022-12-25 20:26:40
10104,244,2023-03-02 04:53:00,44961.97,In Progress,2023-03-02 04:53:00
10105,820,2022-08-25 06:46:40,28990.24,Completed,2022-08-25 06:46:40
10106,671,2023-02-04 15:40:00,26169.5,Completed,2023-02-04 15:40:00
10107,662,2023-01-03 14:13:00,152084.76,Completed,2023-01-03 14:13:00
10108,340,2022-12-16 17:00:00,80754.26,In Progress,2022-12-16 17:00:00
10109,680,2022-07-26 10:06:40,140156.84,In Progress,2022-07-26 10:06:40
10110,154,2022-12-16 17:00:00,128441.53,Completed,2022-12-16 17:00:00
10111,459,2022-10-16 03:13:20,31286.4,Completed,2022-10-16 03:13:20
10112,439,2023-10-02 23:00:00,26389.75,In Progress,2023-10-02 23:00:00
10113,501,2023-10-04 04:13:00,145347.23,In Progress,2023-10-04 04:13:00
10114,996,2022-12-07 15:33:00,192977.33,In Progress,2022-12-07 15:33:00
10115,644,2023-01-03 03:06:00,115972.8,Denied,2023-01-03 03:06:00
10116,320,2022-11-10 20:26:00,50909.65,In Progress,2022-11-10 20:26:00
10117,745,2022-12-22 14:40:00,44550.61,Completed,2022-12-22 14:40:00
10118,425,2022-06-28 07:06:40,141476.47,In Progress,2022-06-28 07:06:40
10119,44,2023-01-30 00:53:20,32415.41,In Progress,2023-01-30 00:53:20
10120,875,2023-02-03 04:06:00,34359.07,In Progress,2023-02-03 04:06:00
10121,,,0,,
10122,314,2022-07-19 05:53:20,127279.69,In Progress,2022-07-19 05:53:20
10123,646,2022-09-23 16:20:00,78767.24,Completed,2022-09-23 16:20:00
10124,390,2022-09-13 09:06:40,57440.1,In Progress,2022-09-13 09:06:40
10125,277,2023-09-03 00:00:00,105904.92,Completed,2023-09-03 00:00:00
10126,160,2022-09-05 18:13:00,130756.59,Completed,2022-09-05 18:13:00
10127,12,2022-02-12 14:06:00,137919.09,Completed,2022-02-12 14:06:00
10128,262,2022-09-09 07:53:00,157615.43,In Progress,2022-09-09 07:53:00
10129,538,2022-07-15 13:00:00,49133.41,Completed,2022-07-15 13:00:00
10130,997,2022-05-28 20:33:20,166809.26,Completed,2022-05-28 20:33:20
10131,96,2022-11-06 09:33:00,19386.04,Completed,2022-11-06 09:33:00
10132,266,2022-10-24 05:40:00,57694.37,In Progress,2022-10-24 05:40:00
10133,366,2022-05-06 23:00:00,61123.57,Completed,2022-05-06 23:00:00
10134,534,2022-08-31 21:06:40,197402.9,Completed,2022-08-31 21:06:40
10135,131,2022-09-05 12:40:00,143336.06,Completed,2022-09-05 12:40:00
10136,,,0,,
10137,473,2023-01-23 16:06:40,18022.5,In Progress,2023-01-23 16:06:40
10138,4,2022-07-29 02:00:00,173940.47,Completed,2022-07-29 02:00:00
10139,663,2023-03-31 13:40:00,109972.33,In Progress,2023-03-31 13:40:00
10140,828,2022-09-23 10:46:40,60423.36,Pending,2022-09-23 10:46:40
10141,582,2022-04-11 02:46:00,60087.15,In Progress,2022-04-11 02:46:00
10142,950,2022-06-06 07:20:00,95611.28,In Progress,2022-06-06 07:20:00
10143,447,2022-11-21 00:20:00,56903.35,In Progress,2022-11-21 00:20:00
10144,684,2022-12-24 02:46:40,46052.5,Completed,2022-12-24 02:46:40
10145,918,2022-09-17 04:46:40,148950.18,In Progress,2022-09-17 04:46:40
10146,388,2023-03-19 18:20:00,66407.76,Completed,2023-03-19 18:20:00
10147,245,2022-10-10 02:46:00,160148.21,Completed,2022-10-10 02:46:00
10148,385,2022-03-08 12:33:00,3440.96,In Progress,2022-03-08 12:33:00
10149,261,2022-10-17 01:26:40,145691.82,Completed,2022-10-17 01:26:40
10150,907,2023-01-26 02:26:40,62832.66,Completed,2023-01-26 02:26:40
10151,363,2022-05-13 19:26:40,197761.95,Pending,2022-05-13 19:26:40
10152,261,2022-07-14 06:26:40,66804.65,In Progress,2022-07-14 06:26:40
10153,,,0,,
10154,920,2022-09-05 07:06:00,40639.82,In Progress,2022-09-05 07:06:00
10155,189,2022-08-12 11:46:00,39738.46,In Progress,2022-08-12 11:46:00
10156,153,2022-11-19 12:13:20,131738.34,In Progress,2022-11-19 12:13:20
10157,642,2022-05-11 09:20:00,127605.65,Completed,2022-05-11 09:20:00
10158,266,2022-06-17 10:00:00,182132.12,In Progress,2022-06-17 10:00:00
10159,266,2023-05-01 14:46:00,98230.79,Completed,2023-05-01 14:46:00
10160,387,2023-01-19 14:53:20,17980.35,Completed,2023-01-19 14:53:20
10161,481,2022-12-13 14:00:00,154558.19,In Progress,2022-12-13 14:00:00
10162,990,2022-04-17 18:26:40,29557.7,In Progress,2022-04-17 18:26:40
10163,608,2022-02-08 19:53:00,12170.6,In Progress,2022-02-08 19:53:00
10164,758,2022-03-07 01:00:00,101192.16,Completed,2022-03-07 01:00:00
10165,627,2022-11-28 10:06:40,41385.51,Completed,2022-11-28 10:06:40
10166,941,2022-02-10 08:40:00,148757.45,Completed,2022-02-10 08:40:00
10167,,,0,,
10168,700,2023-08-02 15:26:00,163213.45,Completed,2023-08-02 15:26:00
10169,613,2022-07-12 19:06:00,149939.78,In Progress,2022-07-12 19:06:00
10170,121,2022-08-09 09:40:00,116075.39,In Progress,2022-08-09 09:40:00
10171,842,2022-12-12 13:00:00,179903.79,Completed,2022-12-12 13:00:00
10172,580,2022-05-21 05:13:20,73007.58,In Progress,2022-05-21 05:13:20
10173,987,2023-01-14 21:00:00,22719.86,Completed,2023-01-14 21:00:00
10174,33,2022-05-13 05:33:20,35000.12,Completed,2022-05-13 05:33:20
10175,768,2022-06-14 18:06:40,77237.38,Completed,2022-06-14 18:06:40
10176,964,2022-03-08 18:06:00,191773.15,In Progress,2022-03-08 18:06:00
10177,764,2022-11-14 07:13:20,103181.26,In Progress,2022-11-14 07:13:20
10178,725,2022-11-26 02:33:20,171035.15,Completed,2022-11-26 02:33:20
10179,837,2023-04-13 23:53:20,177888.05,In Progress,2023-04-13 23:53:20
10180,246,2022-10-15 16:06:40,109408.55,In Progress,2022-10-15 16:06:40
10181,990,2023-09-04 08:46:00,154884.74,In Progress,2023-09-04 08:46:00
10182,975,2022-10-26 16:00:00,88011.86,In Progress,2022-10-26 16:00:00
10183,651,2023-02-24 06:26:40,71042.4,In Progress,2023-02-24 06:26:40
10184,901,2022-07-14 06:26:40,49623.04,Denied,2022-07-14 06:26:40
10185,247,2022-11-30 06:33:20,92178.09,Pending,2022-11-30 06:33:20
10186,624,2023-02-27 06:40:00,3462.37,Completed,2023-02-27 06:40:00
10187,334,2022-05-07 05:46:00,160303.16,Denied,2022-05-07 05:46:00
10188,171,2022-08-24 19:40:00,198534.73,In Progress,2022-08-24 19:40:00
10189,130,2022-12-21 08:06:40,42632.29,Completed,2022-12-21 08:06:40
10190,,,0,,
10191,357,2022-12-20 12:40:00,70070.62,Completed,2022-12-20 12:40:00
10192,176,2023-10-04 07:00:00,130687.1,Completed,2023-10-04 07:00:00
10193,553,2023-03-19 23:53:20,165792.37,In Progress,2023-03-19 23:53:20
10194,364,2022-07-15 18:33:20,175270.16,In Progress,2022-07-15 18:33:20
10195,100,2022-09-19 06:46:40,170712.27,Completed,2022-09-19 06:46:40
10196,915,2023-06-04 08:33:00,53529.42,In Progress,2023-06-04 08:33:00
10197,402,2022-09-29 16:46:40,77565.32,Denied,2022-09-29 16:46:40
10198,807,2022-07-11 14:06:00,174825.52,Completed,2022-07-11 14:06:00
10199,522,2022-10-31 07:06:40,33443.61,Completed,2022-10-31 07:06:40
10200,105,2022-05-12 17:06:00,110992.31,In Progress,2022-05-12 17:06:00
10201,129,2022-12-28 01:13:20,82407.84,Completed,2022-12-28 01:13:20
10202,381,2022-09-11 13:20:00,105424.05,In Progress,2022-09-11 13:20:00
10203,236,2022-10-16 00:26:40,34631.69,In Progress,2022-10-16 00:26:40
10204,187,2022-07-17 06:40:00,32075.66,In Progress,2022-07-17 06:40:00
10205,849,2022-09-28 04:40:00,155426.93,Denied,2022-09-28 04:40:00
10206,761,2022-10-25 20:33:20,171113.99,Pending,2022-10-25 20:33:20
10207,405,2022-02-09 03:40:00,156395.17,Completed,2022-02-09 03:40:00
10208,22,2023-02-25 07:26:40,34817.95,In Progress,2023-02-25 07:26:40
10209,659,2022-06-10 15:26:00,72346.34,Completed,2022-06-10 15:26:00
10210,363,2022-05-21 10:46:40,57980.39,In Progress,2022-05-21 10:46:40
10211,553,2022-11-24 06:06:40,155272,Completed,2022-11-24 06:06:40
10212,910,2022-02-07 11:06:00,93312.18,Completed,2022-02-07 11:06:00
10213,161,2023-02-25 07:26:40,101193.44,Denied,2023-02-25 07:26:40
10214,719,2022-07-06 08:20:00,81638.49,Completed,2022-07-06 08:20:00
10215,874,2023-12-01 21:46:00,185133.72,In Progress,2023-12-01 21:46:00
10216,460,2022-11-05 23:00:00,144839.96,Completed,2022-11-05 23:00:00
10217,620,2022-08-18 02:33:20,84382.33,Completed,2022-08-18 02:33:20
10218,596,2022-12-16 17:00:00,100418.27,In Progress,2022-12-16 17:00:00
10219,,,0,,
10220,889,2023-11-03 15:53:00,143708.52,In Progress,2023-11-03 15:53:00
10221,23,2022-08-08 06:26:00,123154.62,Completed,2022-08-08 06:26:00
10222,39,2022-10-10 05:33:00,114220.03,Completed,2022-10-10 05:33:00
10223,149,2023-07-04 06:46:00,51459.83,In Progress,2023-07-04 06:46:00
10224,661,2022-02-10 22:33:00,86818.81,In Progress,2022-02-10 22:33:00
10225,181,2022-08-27 03:13:20,68724.41,Denied,2022-08-27 03:13:20
10226,637,2023-10-02 09:06:00,64846.06,Denied,2023-10-02 09:06:00
10227,561,2023-03-19 21:06:40,93389.78,Completed,2023-03-19 21:06:40
10228,502,2022-12-05 07:20:00,6641.32,In Progress,2022-12-05 07:20:00
10229,729,2022-08-24 08:33:20,187800.67,In Progress,2022-08-24 08:33:20
10230,777,2023-12-03 11:20:00,74526.02,Completed,2023-12-03 11:20:00
10231,621,2022-06-23 04:53:20,95020.54,Completed,2022-06-23 04:53:20
10232,782,2022-11-21 14:13:20,31602.25,In Progress,2022-11-21 14:13:20
10233,376,2022-12-16 14:13:20,26334.29,Completed,2022-12-16 14:13:20
10234,255,2022-01-09 02:40:00,94693.97,Completed,2022-01-09 02:40:00
10235,989,2022-04-30 20:20:00,178846.46,Completed,2022-04-30 20:20:00
10236,52,2022-06-18 13:46:40,5673.04,Completed,2022-06-18 13:46:40
10237,119,2023-05-03 04:20:00,183204.46,Completed,2023-05-03 04:20:00
10238,824,2023-06-03 13:40:00,147960.63,Completed,2023-06-03 13:40:00
10239,,,0,,
10240,467,2022-11-10 20:26:00,27815.34,Completed,2022-11-10 20:26:00
10241,270,2023-08-03 12:53:00,172049.39,In Progress,2023-08-03 12:53:00
10242,857,2022-11-11 09:46:00,62269.06,Completed,2022-11-11 09:46:00
10243,700,2022-04-29 19:20:00,69702.52,Completed,2022-04-29 19:20:00
10244,251,2022-08-09 12:26:00,79568.46,In Progress,2022-08-09 12:26:00
10245,180,2022-11-22 06:53:20,58340.4,In Progress,2022-11-22 06:53:20
10246,48,2023-04-15 09:13:20,51605.81,Completed,2023-04-15 09:13:20
10247,914,2022-08-08 06:26:00,54784.63,In Progress,2022-08-08 06:26:00
10248,961,2023-10-01 05:53:00,106475.54,Completed,2023-10-01 05:53:00
10249,411,2023-09-04 19:53:00,125944.67,Completed,2023-09-04 19:53:00
10250,919,2023-01-04 00:46:00,145977.05,In Progress,2023-01-04 00:46:00
10251,53,2022-06-19 06:26:40,54784.88,In Progress,2022-06-19 06:26:40
10252,285,2022-08-18 19:13:20,126526.9,Completed,2022-08-18 19:13:20
10253,532,2023-03-26 08:40:00,123040.5,In Progress,2023-03-26 08:40:00
10254,192,2023-03-17 21:53:20,41362.74,Completed,2023-03-17 21:53:20
10255,932,2022-11-28 07:20:00,135076.62,Denied,2022-11-28 07:20:00
10256,915,2023-11-04 08:00:00,43690.52,Completed,2023-11-04 08:00:00
10257,442,2022-11-15 19:20:00,40270.54,In Progress,2022-11-15 19:20:00
10258,355,2023-04-16 01:53:20,199659.76,Denied,2023-04-16 01:53:20
10259,614,2022-08-23 02:00:00,178084.46,In Progress,2022-08-23 02:00:00
10260,753,2022-01-05 04:40:00,26685.52,In Progress,2022-01-05 04:40:00
10261,34,2022-07-13 16:33:20,74955.3,In Progress,2022-07-13 16:33:20
10262,17,2022-09-13 20:13:20,190594.34,Pending,2022-09-13 20:13:20
10263,431,2022-12-31 09:46:40,27005.43,Completed,2022-12-31 09:46:40
10264,304,2022-06-24 05:53:20,119755.07,In Progress,2022-06-24 05:53:20
10265,548,2023-03-16 09:46:40,31802.77,Pending,2023-03-16 09:46:40
10266,993,2022-05-31 20:46:40,160550.17,Completed,2022-05-31 20:46:40
10267,375,2022-06-20 04:40:00,46957,Completed,2022-06-20 04:40:00
10268,250,2022-10-15 21:40:00,193981.58,Completed,2022-10-15 21:40:00
10269,276,2023-01-15 10:53:20,19642.1,Completed,2023-01-15 10:53:20
10270,489,2022-12-24 22:13:20,147535.3,Completed,2022-12-24 22:13:20
10271,315,2023-03-28 05:06:40,28110.69,Completed,2023-03-28 05:06:40
10272,826,2022-06-07 01:13:00,26856.28,In Progress,2022-06-07 01:13:00
10273,256,2023-02-02 09:26:00,163920.79,In Progress,2023-02-02 09:26:00
10274,775,2022-09-23 19:06:40,11563.18,In Progress,2022-09-23 19:06:40
10275,83,2022-05-30 00:20:00,156299.04,Completed,2022-05-30 00:20:00
10276,278,2022-05-08 09:00:00,100883.13,Completed,2022-05-08 09:00:00
10277,524,2022-12-28 15:06:40,17371.64,Completed,2022-12-28 15:06:40
10278,207,2022-09-12 01:40:00,50495.31,In Progress,2022-09-12 01:40:00
10279,601,2023-07-02 14:26:00,149501.92,In Progress,2023-07-02 14:26:00
10280,938,2022-11-10 14:53:00,40118.56,Completed,2022-11-10 14:53:00
10281,531,2022-09-20 16:06:40,84074.84,In Progress,2022-09-20 16:06:40
10282,966,2022-04-18 19:26:40,188409.77,Completed,2022-04-18 19:26:40
10283,563,2022-07-22 22:46:40,167278.04,In Progress,2022-07-22 22:46:40
10284,132,2023-11-02 01:46:00,185294.41,In Progress,2023-11-02 01:46:00
10285,969,2022-09-09 13:26:00,38871.72,Completed,2022-09-09 13:26:00
10286,632,2023-01-18 00:00:00,177169.7,Completed,2023-01-18 00:00:00
10287,77,2022-06-19 03:40:00,143263.08,Completed,2022-06-19 03:40:00
10288,968,2023-02-02 01:06:00,13486.92,In Progress,2023-02-02 01:06:00
10289,301,2023-05-03 01:33:00,104536.79,Completed,2023-05-03 01:33:00
10290,151,2022-05-12 19:53:00,46932.6,Completed,2022-05-12 19:53:00
10291,915,2022-08-13 08:40:00,31405.08,Completed,2022-08-13 08:40:00
10292,548,2022-05-23 07:13:20,143770.13,Completed,2022-05-23 07:13:20
10293,290,2022-08-21 13:53:20,43724.46,In Progress,2022-08-21 13:53:20
10294,592,2022-09-09 16:13:00,90271.63,In Progress,2022-09-09 16:13:00
10295,54,2022-03-12 06:46:00,65484.95,In Progress,2022-03-12 06:46:00
10296,568,2022-09-18 14:06:40,99683.67,Completed,2022-09-18 14:06:40
10297,142,2023-02-26 14:00:00,39837,Completed,2023-02-26 14:00:00
10298,146,2022-06-08 10:00:00,31653.81,In Progress,2022-06-08 10:00:00
10299,351,2022-12-09 13:40:00,192950.63,In Progress,2022-12-09 13:40:00
10300,198,2022-04-22 04:00:00,63580.08,In Progress,2022-04-22 04:00:00
10301,211,2023-03-28 02:20:00,128394.52,In Progress,2023-03-28 02:20:00
10302,759,2022-09-12 18:20:00,132963.24,Completed,2022-09-12 18:20:00
10303,71,2022-06-20 13:00:00,153987.28,In Progress,2022-06-20 13:00:00
10304,24,2023-03-16 18:06:40,70674.99,Completed,2023-03-16 18:06:40
10305,13,2022-09-17 02:00:00,190747.27,In Progress,2022-09-17 02:00:00
10306,878,2022-06-18 19:20:00,95395.21,In Progress,2022-06-18 19:20:00
10307,86,2022-09-30 20:33:20,59216.83,In Progress,2022-09-30 20:33:20
10308,294,2023-01-02 22:20:00,83671.06,In Progress,2023-01-02 22:20:00
10309,717,2023-03-24 12:13:20,50294.47,In Progress,2023-03-24 12:13:20
10310,629,2022-11-26 13:40:00,107136.2,Completed,2022-11-26 13:40:00
10311,353,2023-03-24 17:46:40,173369.72,In Progress,2023-03-24 17:46:40
10312,,,0,,
10313,648,2023-03-13 20:40:00,178639.62,In Progress,2023-03-13 20:40:00
10314,558,2022-03-07 09:20:00,97060.61,In Progress,2022-03-07 09:20:00
10315,492,2022-10-06 22:26:00,152469.58,In Progress,2022-10-06 22:26:00
10316,202,2022-10-14 12:20:00,125593.87,Completed,2022-10-14 12:20:00
10317,461,2022-11-20 07:40:00,85122.65,Completed,2022-11-20 07:40:00
10318,705,2023-12-04 14:33:00,89719.65,In Progress,2023-12-04 14:33:00
10319,756,2023-03-22 01:53:20,140411.24,In Progress,2023-03-22 01:53:20
10320,106,2023-10-03 12:06:00,106937.12,In Progress,2023-10-03 12:06:00
10321,351,2023-08-02 15:26:00,125473.32,In Progress,2023-08-02 15:26:00
10322,,,0,,
10323,483,2022-11-27 06:20:00,12243.25,Completed,2022-11-27 06:20:00
10324,739,2023-12-02 02:46:00,13418.16,In Progress,2023-12-02 02:46:00
10325,,,0,,
10326,292,2022-04-08 05:13:00,109479.35,Completed,2022-04-08 05:13:00
10327,292,2022-11-12 14:46:00,5773.47,In Progress,2022-11-12 14:46:00
10328,120,2022-11-29 08:20:00,119560.41,Completed,2022-11-29 08:20:00
10329,581,2022-11-06 04:00:00,8629.92,Pending,2022-11-06 04:00:00
10330,88,2022-04-06 02:33:00,63161.91,Completed,2022-04-06 02:33:00
10331,,,0,,
10332,585,2022-06-11 07:33:00,86183.66,In Progress,2022-06-11 07:33:00
10333,416,2022-10-17 07:00:00,89565.47,In Progress,2022-10-17 07:00:00
10334,,,0,,
10335,950,2022-01-07 12:53:00,29517.09,Completed,2022-01-07 12:53:00
10336,167,2022-04-06 19:13:00,6325.58,In Progress,2022-04-06 19:13:00
10337,915,2022-12-28 09:33:20,109257.73,Completed,2022-12-28 09:33:20
10338,660,2023-01-30 12:00:00,62391.21,In Progress,2023-01-30 12:00:00
10339,574,2022-04-11 11:06:00,103808.16,Completed,2022-04-11 11:06:00
10340,809,2023-03-04 16:40:00,187178.51,Completed,2023-03-04 16:40:00
10341,773,2022-04-21 00:13:20,123318.78,In Progress,2022-04-21 00:13:20
10342,774,2022-06-22 15:00:00,121323.04,In Progress,2022-06-22 15:00:00
10343,868,2022-06-30 11:53:20,63269.53,Completed,2022-06-30 11:53:20
10344,174,2022-02-06 22:46:00,128904.95,Completed,2022-02-06 22:46:00
10345,697,2023-06-04 22:26:00,160096.27,Completed,2023-06-04 22:26:00
10346,873,2022-06-27 22:46:40,70044.11,Completed,2022-06-27 22:46:40
10347,779,2022-05-13 19:26:40,60985.15,Completed,2022-05-13 19:26:40
10348,190,2022-02-10 14:13:00,58168.06,In Progress,2022-02-10 14:13:00
10349,184,2022-10-16 00:26:40,140485.66,Completed,2022-10-16 00:26:40
10350,86,2022-12-13 11:13:20,149341.4,In Progress,2022-12-13 11:13:20
10351,275,2022-08-25 12:20:00,179291.72,Pending,2022-08-25 12:20:00
10352,,,0,,
10353,572,2022-09-28 04:40:00,163832.93,Completed,2022-09-28 04:40:00
10354,878,2022-09-25 12:46:40,77615.4,In Progress,2022-09-25 12:46:40
10355,964,2022-10-24 22:20:00,48505.94,Completed,2022-10-24 22:20:00
10356,684,2022-12-30 03:13:20,72954.62,Completed,2022-12-30 03:13:20
10357,152,2022-04-25 15:20:00,6098.41,Completed,2022-04-25 15:20:00
10358,318,2022-05-25 00:53:20,191606.15,In Progress,2022-05-25 00:53:20
10359,909,2022-04-20 18:40:00,103467.47,Completed,2022-04-20 18:40:00
10360,411,2022-11-17 04:40:00,91036.43,Completed,2022-11-17 04:40:00
10361,200,2022-12-17 04:06:40,186053.58,Pending,2022-12-17 04:06:40
10362,,,0,,
